,date,comment,counter,title,description,link
0,20181123,* Sie sprechen durcheinander. *,31,Gekaufte Abstimmungen?,"Befürworter wie auch Gegner der Selbstbestimmungs-Initiative geben Millionen von Franken aus, um das Volk zu überzeugen. Kann man Abstimmungen kaufen? Braucht es mehr Transparenz? Welche Rolle spielt Geld überhaupt in der Politik?",https://www.srf.ch/sendungen/arena/gekaufte-abstimmungen
1,20170929,* Sie sprechen durcheinander. *,21,Am runden Tisch,"Ob Unternehmenssteuer oder Altersvorsorge: In der Schweiz scheitern wichtige Reformen. Wieso? Liegt das Problem bei Politikern, bei Parteien – oder bei Medien, welche Politik immer stärker boulevardisieren und personalisieren?",https://www.srf.ch/sendungen/arena/am-runden-tisch
2,20161118,* Sie sprechen durcheinander. *,21,Kapitalismus oder Klassenkampf?,"Trump gewinnt, Europa rutscht nach rechts. Aber was sind die Rezepte der Linken dagegen? Die SP Schweiz und ihr Präsident Christian Levrat reagieren mit Kapitalismus-Kritik: Mehr soziale Gerechtigkeit sei die Lösung, finden sie.",https://www.srf.ch/sendungen/arena/kapitalismus-oder-klassenkampf
3,20180309,* Sie sprechen durcheinander. *,20,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",https://www.srf.ch/sendungen/arena/blocher-auf-zum-letzten-gefecht
4,20170526,* Sie sprechen durcheinander. *,20,Die Parteipräsidenten,"Fast ist Halbzeit in Bern: Was hat die erste Legislatur-Hälfte gebracht? Wer sind die Sieger, wer die Verlierer? Die grosse Analyse in der «Arena»: Wer ist schuld an der versenkten Unternehmenssteuer-Reform III? Was taugt der angebliche bürgerliche Schulterschluss? Und wie geht es weiter mit Europa?",https://www.srf.ch/sendungen/arena/die-parteipraesidenten
5,20171117,* Sie sprechen durcheinander. *,19,Profit statt Moral?,Steuervermeidung und Rohstoffhandel: Von beidem profitieren auch Schweizer Konzerne. Gleichzeitig sind weltweit viele Menschen bitterarm. Ist das eine moderne Form der kolonialen Ausbeutung – oder profitieren von einem funktionierenden Markt schlussendlich alle?,https://www.srf.ch/sendungen/arena/profit-statt-moral
6,20170922,* Sie sprechen durcheinander. *,17,Blocher gegen alle,"Ob der neue Aussenminister nun Ignazio Cassis oder Alain Berset heisst – die SVP wird ihn bekämpfen. Ist Europapolitik überhaupt möglich, solange Christoph Blocher die Fäden zieht? Oder umgekehrt: Rettet uns nur die SVP vor dem «schleichenden EU-Beitritt»?",https://www.srf.ch/sendungen/arena/blocher-gegen-alle
7,20161104,* Sie sprechen durcheinander. *,17,Wer hat das Sagen im Land?,"Unterdessen ist klar: Die Masseneinwanderungsinitiative wird nicht wirklich umgesetzt. Verrät die Politik hier das Volk? Oder liegt der Fehler bei der SVP? Spaltet die mächtigste Partei der Schweiz unnötig unser Land und macht Versprechungen, die keiner halten kann?",https://www.srf.ch/sendungen/arena/wer-hat-das-sagen-im-land
8,20170407,* Sie sprechen durcheinander. *,17,Die Attacke,"Die SVP zielt auf die Menschenrechts-Konvention: Sie möchte, dass Schweizer Recht über allem steht, auch über dem Gerichtshof für Menschenrechte in Strassburg. Wie gefährlich ist die sogenannte «Selbstbestimmungsinitiative» der SVP? Und: Wie wichtig ist es uns, alles «selbst bestimmen» zu können?",https://www.srf.ch/sendungen/arena/die-attacke
9,20170505,* Sie sprechen durcheinander. *,15,Sind wir zu freizügig?,Europa wird immer EU-kritischer: In Frankreich könnte Marine Le Pen vom «Front National» Präsidentin werden – und auch in der Schweiz wird die Personenfreizügigkeit nun frontal angegriffen. Kippt die EU?,https://www.srf.ch/sendungen/arena/sind-wir-zu-freizuegig
10,20161202,* Sie sprechen durcheinander. *,15,Zuwanderung: Der Showdown,"Die Zeit drängt: Bis am 9. Februar 2017 muss die Zuwanderungs-Initiative der SVP umgesetzt sein, so steht es in der Verfassung. Darum peitscht man das Geschäft nun durch die Räte. Am Donnerstag hat der Ständerat entschieden, wie er die Initiative umsetzen will. Am Montag ist der Nationalrat dran.",https://www.srf.ch/sendungen/arena/zuwanderung-der-showdown
11,20161111,* Sie sprechen durcheinander. *,13,Wieso Trump?,"Wie war diese Wahl möglich? Diese Frage stellen sich viele nach der Kür von Donald Trump zum US-Präsidenten. Ist Trump ein Populist, der dank Hass und Angst gewählt wurde? Oder versteht er einfach das Volk – im Gegensatz zum politischen Establishment, zur «Classe Politique»?",https://www.srf.ch/sendungen/arena/wieso-trump
12,20170519,* Lachen *,13,Eine tierische «Arena»,"Am sechsten Tag schuf Gott Mensch und Landtiere. Seither haben die einen mehr Rechte als die anderen. Zumindest in der Schweiz rückt der Tierschutz aber mehr in den Fokus, wie verschiedene Initiativen zeigen. Brauchen wir mehr Rechte für Tiere?",https://www.srf.ch/sendungen/arena/eine-tierische-arena
13,20170901,* Sie sprechen durcheinander. *,11,Wer rettet meine Rente?,"Nun greift Dreifuss ein! Für die grosse Rentendebatte steigt alt Bundesrätin Ruth Dreifuss in die «Arena». Ihr Gegner im Ring ist eine Legende der liberalen Politik: Der frühere Präsident der Economiesuisse, Gerold Bührer. Ist diese Reform bitter nötig oder brandgefährlich?",https://www.srf.ch/sendungen/arena/wer-rettet-meine-rente
14,20160610,* Sie sprechen durcheinander. *,11,Frauen am Herd?,"Wieso bleiben so viele gut ausgebildete Frauen am Herd, sobald sie Kinder bekommen? Liegt es daran, dass Familie und Beruf kaum vereinbar sind? Oder liegt es vielleicht doch an den natürlichen Unterschieden zwischen Mann und Frau?",https://www.srf.ch/sendungen/arena/frauen-am-herd
15,20171110,* Applaus *,11,Kampf um die Jets – Bundesrat Parmelin in der Arena,Neue Kampfjets – dafür will der Bundesrat bis zu 8 Milliarden Franken ausgeben. Doch braucht die Schweiz überhaupt eine Luftwaffe? Und: Muss sie so teuer sein? Nun steigt Bundesrat Parmelin selber in den Ring und verteidigt in der «Arena» seine 8-Milliarden-Luftwaffe.,https://www.srf.ch/sendungen/arena/kampf-um-die-jets-bundesrat-parmelin-in-der-arena
16,20180518,* Sie sprechen durcheinander. *,10,Sollen Tamynique heiraten dürfen?,"Auch homosexuelle Paare in der Schweiz sollen ein Recht auf die Ehe haben, findet die GLP. Was spricht für, was gegen die «Ehe für alle»? Gegner argumentieren, dass als nächstes das Recht auf Adoption für homosexuelle Paare gefordert wird - und dann die Leihmutterschaft. Ginge das zu weit?",https://www.srf.ch/sendungen/arena/sollen-tamynique-heiraten-duerfen
17,20170317,* Sie sprechen durcheinander. *,9,Fremde Redner,"Laute Proteste, angekündigte Demonstrationen und schliesslich die Absage: Die Wogen gingen hoch, als bekannt wurde, dass der Auftritt des türkischen Aussenministers bevorstand. Soll türkische Propaganda in der Schweiz verboten werden? Oder schützt die Meinungsäusserungsfreiheit auch fremde Redner?",https://www.srf.ch/sendungen/arena/fremde-redner
18,20170324,* Sie sprechen durcheinander. *,9,Auf in die EU?,"Vor 25 Jahren war der EU-Beitritt für viele eine Option, heute kommt schon die Frage danach einem Tabubruch gleich. Nur wenige – wie die schweizerisch-europäische Jugendorganisation YES – wollen noch immer in die EU. Woher diese grosse Einigkeit? Und: Ist verrückt, wer heute noch an die EU glaubt?",https://www.srf.ch/sendungen/arena/auf-in-die-eu
19,20190201,* Sie sprechen durcheinander. *,9,"Spitzenmedizin, aber bitte günstig!",Das Bundesgericht hat ein Machtwort gesprochen: Von Prämienverbilligungen muss auch der Mittelstand profitieren dürfen. Sind staatliche Verbilligungen die Lösung für die hohen Prämien - oder braucht es echte Sparmassnahmen im Gesundheitssystem?,https://www.srf.ch/sendungen/arena/spitzenmedizin-aber-bitte-guenstig
20,20160422,* Sie sprechen durcheinander. *,8,Abstimmungs-Arena: Asylgesetzrevision,In einem sind sich alle einig: Lange Asylverfahren sind aufwendig und teuer. Mit der Asylgesetzrevision sollen nun die Verfahren beschleunigt werden. Die SVP ergriff letzten Herbst dagegen das Referendum. Grund: die Asylgesetzrevision setze mit sogenannten «Gratisanwälten» falsche Anreize.,https://www.srf.ch/sendungen/arena/abstimmungs-arena-asylgesetzrevision
21,20180907,* Sie sprechen durcheinander. *,8,Schweizer Waffen in Bürgerkriegsländer?,"Der Bundesrat will die Exportbestimmungen für Kriegsmaterial lockern. Befürworter sagen, dies sei nötig für den Erhalt unserer Arbeitsplätze und der Wehrfähigkeit der Schweiz. Gegner warnen vor Missbrauchsgefahr und einem Verrat an Schweizer Werten.",https://www.srf.ch/sendungen/arena/schweizer-waffen-in-buergerkriegslaender
22,20160924,* Sie sprechen durcheinander. *,8,«Inländervorrang light» - ist das der Volkswille?,Der Nationalrat debattierte am Mittwoch über die Umsetzung der «Masseneinwanderungsinitiative». Das Resultat: Eine Meldepflicht für offene Stellen in Zeiten von hoher Zuwanderung – ein «Inländervorrang light». Ist die Initiative der SVP damit genügend umgesetzt oder nicht?,https://www.srf.ch/sendungen/arena/inlaendervorrang-light-ist-das-der-volkswille
23,20180921,* Sie sprechen durcheinander. *,8,Präsidenten-«Arena»: Politik am Volk vorbei?,"Während beim Rahmenabkommen ein Abschluss in weiter Ferne liegt, hat das Parlament bei Steuerreform, AHV und Waffenrecht Lösungen gefunden. Doch haben diese vor dem Volk Bestand? Oder politisiert Bundesbern am Volk vorbei? Diese Fragen diskutieren die Parteipräsidenten in der «Arena».",https://www.srf.ch/sendungen/arena/praesidenten-arena-politik-am-volk-vorbei
24,20161111,* Lachen *,8,Wieso Trump?,"Wie war diese Wahl möglich? Diese Frage stellen sich viele nach der Kür von Donald Trump zum US-Präsidenten. Ist Trump ein Populist, der dank Hass und Angst gewählt wurde? Oder versteht er einfach das Volk – im Gegensatz zum politischen Establishment, zur «Classe Politique»?",https://www.srf.ch/sendungen/arena/wieso-trump
25,20190222,* Sie sprechen durcheinander. *,8,"Achtung, fertig, Wahlen!","SP und SVP verlieren, Grüne und Grünliberale gewinnen. So würden die Wahlresultate aktuell aussehen. Bleibt das so? Und wie wirkt sich dieses Zwischenresultat auf die Politik aus? Kommt jetzt ein scharfes CO2-Gesetz? Und wie geht es weiter in der Europa-Debatte?",https://www.srf.ch/sendungen/arena/achtung-fertig-wahlen
26,20160826,* Sie sprechen durcheinander. *,7,Arena: An der Südgrenze,"Sie sitzen seit Wochen in Como fest. Sie sind gestrandet an der Schweizer Grenze. Und hoffen noch immer auf die Reise in den Norden. Wie geht die Schweiz mit den Flüchtlingen um? Stimmen die Vorwürfe, dass die Südgrenze kaum mehr passierbar ist? Und was sind die Anliegen des Tessins?",https://www.srf.ch/sendungen/arena/arena-an-der-suedgrenze
27,20190215,* Sie sprechen durcheinander. *,7,Alle Macht den Alten?,"Jahr für Jahr werden wir älter – und zwar nicht nur jede und jeder Einzelne von uns, sondern auch die Schweiz insgesamt. Wo profitieren wir von den älteren Generationen, und wo entwickeln sich Spannungen? Werden die Jungen künftig überstimmt? Werden sie bei der Rente sogar betrogen?",https://www.srf.ch/sendungen/arena/alle-macht-den-alten
28,20161014,* Sie sprechen durcheinander. *,7,"Jobs weg, Freiheit weg – globalisieren wir die Schweiz kaputt?",Neue globale Handelsabkommen wie TTIP sollen die Wirtschaft auf Touren bringen. Aber würden sie das wirklich – oder schaden sie eher den Konsumenten? Und: Bedrohen die neuartigen Abkommen sogar unsere Demokratie?,https://www.srf.ch/sendungen/arena/jobs-weg-freiheit-weg-globalisieren-wir-die-schweiz-kaputt
29,20170922,* Lachen *,7,Blocher gegen alle,"Ob der neue Aussenminister nun Ignazio Cassis oder Alain Berset heisst – die SVP wird ihn bekämpfen. Ist Europapolitik überhaupt möglich, solange Christoph Blocher die Fäden zieht? Oder umgekehrt: Rettet uns nur die SVP vor dem «schleichenden EU-Beitritt»?",https://www.srf.ch/sendungen/arena/blocher-gegen-alle
30,20171215,* Sie sprechen durcheinander. *,7,Schnüffeln im Sozialstaat?,"Die Überwachung von IV-Bezügern soll erlaubt werden. Sind Detektive mit Kamera und GPS-Tracker ein wichtiges Mittel, um Missbrauch aufzudecken – oder werden hier ehrliche Bürger schikaniert und ausspioniert? Sind unsere Sozialwerke ein wichtiges Sicherheitsnetz oder eine allzu gemütliche Hängematte?",https://www.srf.ch/sendungen/arena/schnueffeln-im-sozialstaat
31,20181109,* Sie sprechen durcheinander. *,6,«Abstimmungs-Arena»: Selbstbestimmungs-Initiative,Die Abstimmung über die Selbstbestimmungs-Initiative (SBI) der SVP ist die wichtigste Abstimmung seit langem – darin sind Befürworter und Gegner einig. Doch ansonsten gehen die Meinungen weit auseinander. Rettet die SBI unsere Volksrechte? Oder gefährdet sie die Schweiz?,https://www.srf.ch/sendungen/arena/abstimmungs-arena-selbstbestimmungs-initiative
32,20161021,* Sie sprechen durcheinander. *,6,Das heilige Land,Unter ihrem neuen Präsidenten Gerhard Pfister rückt die CVP scharf nach rechts – und will in der Schweiz christliche Werte verteidigen. Braucht unser Land diese Rückbesinnung auf das Christentum? Oder ist die Schweiz ebenso sehr ein jüdisches und ein muslimisches Land?,https://www.srf.ch/sendungen/arena/das-heilige-land
33,20180309,* Applaus *,6,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",https://www.srf.ch/sendungen/arena/blocher-auf-zum-letzten-gefecht
34,20171013,* Sie sprechen durcheinander. *,6,Politik – alles nur gekauft?,"Politik kostet Geld. Woher es kommt, weiss jedoch niemand. Das will die Transparenz-Initiative nun ändern. Parteien und Komitees sollen transparent machen, woher sie wie viel Geld haben. Gegner erwidern: Die Initiative verletze die Privatsphäre der Bürger.",https://www.srf.ch/sendungen/arena/politik-alles-nur-gekauft
35,20160701,* Signalton *,6,"Zu alt, um zu leben?","Immer mehr alte Menschen haben den Wunsch, sich mit Hilfe einer Sterbehilfeorganisation das Leben nehmen zu können – auch wenn sie nicht todkrank sind. Ist das richtig und gehört auch ein selbstbestimmter Tod zum Leben? Oder führt das zu Druck auf alte Menschen, frühzeitig aus dem Leben zu scheiden?",https://www.srf.ch/sendungen/arena/zu-alt-um-zu-leben
36,20180511,* Sie sprechen durcheinander. *,6,«Abstimmungs-Arena»: Vollgeld-Initiative,"Die Vollgeld-Initiative ist die komplizierteste Vorlage seit Ewigkeiten. Doch nun wird in der «Abstimmungsarena» erklärt, worum es geht – und Bundesrat Ueli Maurer tritt an gegen die Initianten. Wer soll unser Geld schöpfen? Und wer profitiert davon?",https://www.srf.ch/sendungen/arena/abstimmungs-arena-vollgeld-initiative
37,20160617,* Sie sprechen durcheinander. *,6,Gut genug für den Schweizer Pass?,"Die Schweiz hat europaweit eines der strengsten Einbürgerungsregimes. Was erwarten wir von Ausländern, die eingebürgert werden wollen? Sind die Hürden zum Pass heute zu hoch? Oder bürgert die Schweiz Ausländer zu schnell und zu unkritisch ein?",https://www.srf.ch/sendungen/arena/gut-genug-fuer-den-schweizer-pass
38,20170331,* Sie sprechen durcheinander. *,6,"Klick, Like, Hass","Beleidigungen, Ehrverletzungen, Morddrohungen – im Internet gehört das zur Tagesordnung. Bürger und Politiker sind betroffen. Haben wir den Anstand verloren? Verroht nun auch die Politik? Und: Woher kommt diese neue Lust am Hass?",https://www.srf.ch/sendungen/arena/klick-like-hass
39,20171110,* Sie sprechen durcheinander. *,6,Kampf um die Jets – Bundesrat Parmelin in der Arena,Neue Kampfjets – dafür will der Bundesrat bis zu 8 Milliarden Franken ausgeben. Doch braucht die Schweiz überhaupt eine Luftwaffe? Und: Muss sie so teuer sein? Nun steigt Bundesrat Parmelin selber in den Ring und verteidigt in der «Arena» seine 8-Milliarden-Luftwaffe.,https://www.srf.ch/sendungen/arena/kampf-um-die-jets-bundesrat-parmelin-in-der-arena
40,20181116,* Sie sprechen durcheinander. *,6,Unser Europarat,Ob beim Referendum gegen Versicherungsdetektive oder bei der aktuellen SVP-Initiative: Alle reden vom Europäischen Gerichtshof für Menschenrechte und vom Europarat. Doch was machen diese zwei überhaupt? Die «Arena» lädt zu einer Diskussion am runden Tisch.,https://www.srf.ch/sendungen/arena/unser-europarat
41,20170331,* Signalton *,6,"Klick, Like, Hass","Beleidigungen, Ehrverletzungen, Morddrohungen – im Internet gehört das zur Tagesordnung. Bürger und Politiker sind betroffen. Haben wir den Anstand verloren? Verroht nun auch die Politik? Und: Woher kommt diese neue Lust am Hass?",https://www.srf.ch/sendungen/arena/klick-like-hass
42,20180622,* Lachen *,6,SRG und Private – wer profitiert vom neuen Mediengesetz?,Wie weiter mit den Schweizer Medien? Drei Monate nach «No Billag» flammt diese Diskussion wieder auf. Wofür sollen wir in Zukunft Gebühren zahlen? Muss die SRG sich verändern? Und: Wie bedroht sind Qualität und Meinungsvielfalt in der Presse?,https://www.srf.ch/sendungen/arena/srg-und-private-wer-profitiert-vom-neuen-mediengesetz
43,20170915,* Sie sprechen durcheinander. *,5,Wer wird Bundesrat?,"Wer wird neue Bundesrätin oder neuer Bundesrat? In der «Arena» treffen sich die sieben Parteipräsidenten. Setzen sie auf Isabelle Moret, Ignazio Cassis oder Pierre Maudet? Ist das Tessin oder sind die Frauen an der Reihe? Und: Zählt bei der Wahl Kalkül – oder Kompetenz?",https://www.srf.ch/sendungen/arena/wer-wird-bundesrat
44,20180302,* Sie sprechen durcheinander. *,5,Bauern auf die Schlachtbank?,Für unsere Bauern könnte es existenzbedrohend sein: Ein Freihandelsabkommen mit den südamerikanischen Mercosur-Staaten. Das behauptet Bauern-Präsident Markus Ritter. Seine Gegner aus der Industrie halten dagegen: Ein Abkommen sei wichtig – und Ritter habe jedes Augenmass verloren. Wer hat Recht?,https://www.srf.ch/sendungen/arena/bauern-auf-die-schlachtbank
45,20180629,* Sie sprechen durcheinander. *,5,Anpacken statt Kofferpacken!,"Erst die Arbeit, dann das Vergnügen! Das gilt auch für Sie, liebe Politiker. Denn noch sind keine Ferien – wichtige Probleme sind ungelöst. Die Zeit drängt, ob bei den Bilateralen oder der AHV. Und auch die Flüchtlingskrise wird wieder zum Thema.",https://www.srf.ch/sendungen/arena/anpacken-statt-kofferpacken
46,20160924,* Applaus *,5,«Inländervorrang light» - ist das der Volkswille?,Der Nationalrat debattierte am Mittwoch über die Umsetzung der «Masseneinwanderungsinitiative». Das Resultat: Eine Meldepflicht für offene Stellen in Zeiten von hoher Zuwanderung – ein «Inländervorrang light». Ist die Initiative der SVP damit genügend umgesetzt oder nicht?,https://www.srf.ch/sendungen/arena/inlaendervorrang-light-ist-das-der-volkswille
47,20181026,* Sie sprechen durcheinander. *,5,«Abstimmungs-Arena»: Überwachung Sozialversicherte,"Sollen Sozialversicherungen Detektive einsetzen können, um Missbrauch aufzudecken? Unter welchen Bedingungen und mit welchen Mitteln sollen Versicherte überwacht werden? Befürworter sagen, das neue Gesetz sei notwendig und verhältnismässig. Kritiker befürchten hingegen eine grenzenlose Überwachung.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-ueberwachung-sozialversicherte
48,20180622,* Signalton *,5,SRG und Private – wer profitiert vom neuen Mediengesetz?,Wie weiter mit den Schweizer Medien? Drei Monate nach «No Billag» flammt diese Diskussion wieder auf. Wofür sollen wir in Zukunft Gebühren zahlen? Muss die SRG sich verändern? Und: Wie bedroht sind Qualität und Meinungsvielfalt in der Presse?,https://www.srf.ch/sendungen/arena/srg-und-private-wer-profitiert-vom-neuen-mediengesetz
49,20190208,* Sie sprechen durcheinander. *,5,Heidis Heimatland?,"Es ist Wahljahr – und die Frage stellt sich akuter denn je. Wer sind wir? Ist die Schweiz die Nation der Alphörner und Cervelats, eine Nation mit christlicher Leitkultur? Oder sind wir ein Kleinstaat, dessen Erfolg seit jeher von Offenheit und Austausch geprägt war?",https://www.srf.ch/sendungen/arena/heidis-heimatland
50,20171027,* Sie sprechen durcheinander. *,5,Rente - nun erst mit 70?,"Bundesrat Berset lädt die Gewinner und die Verlierer der Abstimmung zur Altersvorsorge 2020 an den runden Tisch. Das Ziel: eine neue Reform, denn die ist dringend notwendig. Aber wie soll diese aussehen, damit sie vor dem Stimmvolk besteht? Und: Müssen wir bald viel länger arbeiten?",https://www.srf.ch/sendungen/arena/rente-nun-erst-mit-70
51,20160415,* Signalton *,5,Der Notfallplan - müssen wir uns gegen die Flüchtlinge wehren?,"Die Balkanroute ist zu, die Flüchtlingsroute übers Mittelmeer nach Italien rückt wieder in den Fokus. Österreich schliesst die Grenze – und Frankreich könnte erneut dasselbe tun. Übrig bleibt als Ziel: die Schweiz. Was erwartet uns diesen Sommer?",https://www.srf.ch/sendungen/arena/der-notfallplan-muessen-wir-uns-gegen-die-fluechtlinge-wehren
52,20180622,* Sie sprechen durcheinander. *,5,SRG und Private – wer profitiert vom neuen Mediengesetz?,Wie weiter mit den Schweizer Medien? Drei Monate nach «No Billag» flammt diese Diskussion wieder auf. Wofür sollen wir in Zukunft Gebühren zahlen? Muss die SRG sich verändern? Und: Wie bedroht sind Qualität und Meinungsvielfalt in der Presse?,https://www.srf.ch/sendungen/arena/srg-und-private-wer-profitiert-vom-neuen-mediengesetz
53,20170908,* Sie sprechen durcheinander. *,4,Abstimmungs-Arena: «Altersvorsorge 2020»,"Am 24. September stimmen wir über die «Altersvorsorge 2020» ab. Sie betrifft uns alle: Frauen sollen bis 65 arbeiten, die Pensionskassen saniert werden und die Renten stabil bleiben. Ist die Reform dringend nötig und ein wichtiger Kompromiss – oder handelt es sich um eine gefährliche «Scheinreform»?",https://www.srf.ch/sendungen/arena/abstimmungs-arena-altersvorsorge-2020
54,20170317,* Applaus *,4,Fremde Redner,"Laute Proteste, angekündigte Demonstrationen und schliesslich die Absage: Die Wogen gingen hoch, als bekannt wurde, dass der Auftritt des türkischen Aussenministers bevorstand. Soll türkische Propaganda in der Schweiz verboten werden? Oder schützt die Meinungsäusserungsfreiheit auch fremde Redner?",https://www.srf.ch/sendungen/arena/fremde-redner
55,20170505,* Applaus *,4,Sind wir zu freizügig?,Europa wird immer EU-kritischer: In Frankreich könnte Marine Le Pen vom «Front National» Präsidentin werden – und auch in der Schweiz wird die Personenfreizügigkeit nun frontal angegriffen. Kippt die EU?,https://www.srf.ch/sendungen/arena/sind-wir-zu-freizuegig
56,20161125,* Sie sprechen durcheinander. *,4,Vergoldete Bauern?,"Die Schweiz spart – und das erfolgreich: bei den Ausgaben für Bildung, Entwicklungshilfe, selbst bei der Armee. Die Bauern aber blieben etwa in der Sparrunde vom letzten Dezember verschont. Ist das richtig, weil die Bauern zu unserer Tradition gehören? Oder müssten auch sie vermehrt Federn lassen?",https://www.srf.ch/sendungen/arena/vergoldete-bauern
57,20180105,* Lachen *,4,No Billag - jetzt redet das Volk!,Braucht es Radio- und TV-Gebühren? Das ist die dominierende politische Frage im neuen Jahr. Nun greifen die Billag-Zahler in die Debatte ein – in der grossen «Publikumsarena» zu No Billag.,https://www.srf.ch/sendungen/arena/no-billag-jetzt-redet-das-volk
58,20170407,* Signalton *,4,Die Attacke,"Die SVP zielt auf die Menschenrechts-Konvention: Sie möchte, dass Schweizer Recht über allem steht, auch über dem Gerichtshof für Menschenrechte in Strassburg. Wie gefährlich ist die sogenannte «Selbstbestimmungsinitiative» der SVP? Und: Wie wichtig ist es uns, alles «selbst bestimmen» zu können?",https://www.srf.ch/sendungen/arena/die-attacke
59,20181019,* Sie sprechen durcheinander. *,4,«Publikumsarena»: Selbstbestimmungsinitiative,Mit der Selbstbestimmungsinitiative will die SVP die Bundesverfassung in allen Fällen über das Völkerrecht stellen. Eine Selbstverständlichkeit? Oder das Ende des «Erfolgsmodells Schweiz»? Die «Publikumsarena» sucht Antworten.,https://www.srf.ch/sendungen/arena/publikumsarena-selbstbestimmungsinitiative
60,20161007,* Signalton *,4,Krankes Gesundheitssystem?,"Wenn im Herbst Post der Krankenkasse ins Haus flattert, steigen meistens die Prämien: Dieses Mal um durchschnittlich 4.5 %. Das schmerzt im Portemonnaie. Warum zahlen wir jedes Jahr mehr für unsere Gesundheitsversorgung? Und wer ist Schuld daran?",https://www.srf.ch/sendungen/arena/krankes-gesundheitssystem
61,20160924,* Signalton *,4,«Inländervorrang light» - ist das der Volkswille?,Der Nationalrat debattierte am Mittwoch über die Umsetzung der «Masseneinwanderungsinitiative». Das Resultat: Eine Meldepflicht für offene Stellen in Zeiten von hoher Zuwanderung – ein «Inländervorrang light». Ist die Initiative der SVP damit genügend umgesetzt oder nicht?,https://www.srf.ch/sendungen/arena/inlaendervorrang-light-ist-das-der-volkswille
